condition,feature,standardized_coefficient,absolute_coefficient,absolute_rank
shape_only,char_count,2.574655383654819,2.574655383654819,1
shape_only,token_count,-1.703478539553676,1.703478539553676,2
shape_only,avg_token_length,0.6878420733962028,0.6878420733962028,3
shape_only,uppercase_ratio,0.36152021626867936,0.36152021626867936,4
shape_only,exclamation_count,0.2983013503463988,0.2983013503463988,5
contact_promo_only,digit_count,2.6156348135784566,2.6156348135784566,1
contact_promo_only,promo_token_count,1.6266280239131952,1.6266280239131952,2
contact_promo_only,has_url,0.730529081011753,0.730529081011753,3
contact_promo_only,currency_count,0.6011585146150865,0.6011585146150865,4
contact_promo_only,digit_ratio,0.2152707995183522,0.2152707995183522,5
contact_promo_only,has_phone,0.1562347648403662,0.1562347648403662,6
all_shallow,digit_count,2.5658042287263227,2.5658042287263227,1
all_shallow,promo_token_count,1.723216629636996,1.723216629636996,2
all_shallow,avg_token_length,0.7597267191610625,0.7597267191610625,3
all_shallow,has_url,0.6777757052422547,0.6777757052422547,4
all_shallow,currency_count,0.641521513013394,0.641521513013394,5
all_shallow,exclamation_count,0.33626909060355603,0.33626909060355603,6
all_shallow,char_count,0.2682789904894421,0.2682789904894421,7
all_shallow,token_count,-0.25648640139129314,0.25648640139129314,8
all_shallow,digit_ratio,0.24686675065983643,0.24686675065983643,9
all_shallow,uppercase_ratio,0.050982485851561184,0.050982485851561184,10
all_shallow,has_phone,-0.046899872108762855,0.046899872108762855,11
row_position_only,row_position,-0.04507011655090981,0.04507011655090981,1
all_shallow_plus_position,digit_count,2.5711532061552,2.5711532061552,1
all_shallow_plus_position,promo_token_count,1.7236636739104825,1.7236636739104825,2
all_shallow_plus_position,avg_token_length,0.7591333631044906,0.7591333631044906,3
all_shallow_plus_position,has_url,0.6811388931213064,0.6811388931213064,4
all_shallow_plus_position,currency_count,0.6435015889486486,0.6435015889486486,5
all_shallow_plus_position,exclamation_count,0.3359068305514622,0.3359068305514622,6
all_shallow_plus_position,char_count,0.26886833302724145,0.26886833302724145,7
all_shallow_plus_position,token_count,-0.2573079429471121,0.2573079429471121,8
all_shallow_plus_position,digit_ratio,0.24737912303694162,0.24737912303694162,9
all_shallow_plus_position,row_position,0.06703509731319582,0.06703509731319582,10
all_shallow_plus_position,has_phone,-0.05094958376432273,0.05094958376432273,11
all_shallow_plus_position,uppercase_ratio,0.049296618162112414,0.049296618162112414,12
